id	surface	gloss	level
13794	공급	Supply or  provision	C
13819	공기	Public institution	C
13820	공기	Air	B
13901	공동	Association or union or collaboration, working together	B
14089	공무원	Public servant, an employee of the government	B
14147	공부	Study	A
14154	공부하다	To study	A
14166	공사	Construction work or  engineering work	B
14280	공식	A formula or  formality	C
14292	공식적	Formal or  procedural	C
14324	공업	The industry or manufacturing industry	C
14350	공연	A public performance	B
14353	공연되다	To give a public performance	C
14358	공연장	Auditorium	C
14360	공연하다	Offer a performance	C
14361	공연히	Futile or vain or useless	C
14386	공원	Park	A
14483	공장	Construction site	B
14549	공주	A royal princess	C
14552	공중	The air or  the sky	C
14604	공중전화	A public payphone	B
14634	공짜	Free	B
14649	공책	Notebook for taking notes and studying	A
14673	공통	Commonness, shared in common	C
14675	공통되다	To be common	C
14680	공통적	Commonly	C
14681	공통점	A common point or  a common feature	C
14700	공포	Fear or  dread	C
14727	공항	Airport	A
14729	공항버스	Bus to the airport	B
14732	공해	Environmental pollution	C
14768	공휴일	A legal holiday	A
14771	과	1) A course or  branch of study  2) a department or  a faculty	C
14772	과	A lesson or  a section or  a department	A
14790	과거	The state examination	C
14791	과거	The past	B
14908	과목	A subject or  a lesson	B
14982	과연	Just as one thought	C
14995	과외	Extracurricular work	C
15013	과일	A fruit	A
15020	과자	A snack or  pastries or  candy	A
15027	과장	The department/section head	B
15059	과정	A course or  curriculum	C
15060	과정	Process or  course	C
15064	과제	a task; a subject or a thesis or homework; an exercise/a problem	B
15090	과학	Science	B
15111	과학자	Scientist	B
15113	과학적	Scientifically	B
15151	관객	Spectator	B
15161	관계	Connection or  relation	B
15168	관계되다	Be affected or  influenced by	C
15178	관계없이	Without any relation	C
15181	관계자	The interested or affected parties	C
15196	관광	Sightseeing or  tourism	B
15200	관광객	A tourist	B
15206	관광버스	Tourist bus	C
15210	관광지	Tourist area	B
15226	관념	An idea or  notion	C
15274	관람	Inspection or  viewing	C
15280	관련	Relation or  connection or  reference	B
15283	관련되다	Be connected or  related to	B
15297	관련하다	To be related to or  connected to	B
15332	관리	A government official	C
15333	관리	Management or  administration	B
15356	관리하다	To manage or  control or  supervise or  manage	C
15436	관습	Custom or  usage	C
15453	관심	Concern or  interest	B
15456	관심사	A matter of concern and interest	C
15541	관점	A point of view or a standpoint/outlook	C
15567	관찰	Observation or  survey	C
15574	관찰하다	to observe or  view or  watch	B
15602	관하다	Refer to or  be about	B
15657	광경	A spectacle or a sight in 3-d and uncut (compare 관광 tourism)	C
15658	광고	Advertisement	B
15894	광장	An open space or  a plaza or  public square, a piazza	C
15917	광주	City in Chello-nam do	D
16004	괜찮다	To be okay	A
16007	괜히	In vain or  useless or  fruitless, for a stupid reason	B
16038	괴로움	Trouble or  annoyance or  distress	C
16042	괴로워하다	To distress or  trouble	C
16044	괴롭다	Be painful or  distressing	B
16049	괴롭히다	to Afflict or torment sb else	C
16115	굉장하다	Be grand or  magnificent or  splendor	C
16118	굉장히	Very very much or  greatly	B
16132	교과서	Textbook	A
16156	교내	Inside the school	C
16161	교대	Alternation or  change	C
16196	교류	Interchange (cultural) ; alternating current (electrical)	B
16232	교문	A school gate	B
16251	교복	School uniform	C
16269	교사	Instructor	C
16297	교수	Teaching or  instruction	A
16321	교시	Teach or  instruct or  enlighten	C
16325	교실	Classroom	A
16328	교양	Culture or  education	C
16347	교외	Outside the school or  extramural	C
16370	교육	Education	B
16398	교육비	Tuition or  the cost of a school education	C
16417	교육자	An educator	C
16445	교장	Principal	C
16452	교재	Teaching material or  insruction materials	C
16515	교직	The teaching profession	C
16551	교체	Shift or change or alternate	C
16565	교통	Traffic or  transportation	A
16584	교통사고	a traffic accident	B
16603	교포	A Korean living abroad	B
16628	교환	An exchange	B
16648	교환하다	To exchange	C
16672	교회	Preach or  moral instruction	A
16732	교훈	Edification or  giving instructions to	C
16746	구	9	A
16751	구15	Ward or  district	C
16786	구경	An enjoyable sight or spectacle	A
16795	구경하다	To watch or  enjoy watching	B
16877	구두	Shoes or  boots	A
16923	구르다	Roll over	C
16929	구름	A cloud or  the clouds	A
16980	구멍	A hole	B
17054	구별	A distinction or  a separation	C
17055	구별되다	To be separated andistinguished	C
17063	구별하다	To distinguish between A and B	C
17086	구분	A division or  section	C
17087	구분되다	To be put into sections	C
17096	구분하다	To divide or  to classify	C
17139	구석	1) a corner  2) an out of the way place	C
17140	구석구석	Every nook and corner	C
17154	구성	Organization or constitution, the framework of something	C
17157	구성되다	To be organized	C
17175	구성하다	To organize or  makeup	C
17187	구속	To arrest or  put in detention	C
17191	구속되다	To be arrested	C
17205	구속하다	To arrest or  restrain	C
17258	구십	90	A
17292	구역	A zone or  district	C
17321	구월	September	A
17332	구입	Purchase or  buying	C
17343	구입하다	Purchase or  buying	C
17383	구조	Construction or structure	C
17437	구청	A ward or district office	C
17443	구체적	Concretely	B
17493	구하다	Rescue a person	B
17494	구하다	1) To buy or  purchase or  2) look for or  seek or  want	B
17544	국	Soup or  broth	B
17546	국가	A state or  a nation	B
17558	국가적	National or of the state	C
17606	국기	The national flag	B
17610	국내	Inside the country	B
17622	국내선	Domestic airline	C
17625	국내외	The inside and outside of a country or  home and abroad	C
17642	국립	Government established	B
